"","x"
"1720",538009781
"1721",244030715
"1722",266220000
"1723",503720000
"1724",235098058
"1725",431017776
"1726",636015349
"1727",636019539
"1728",563237700
"1729",538007133
"1730",352906000
"1731",209351000
"1732",249781000
"1733",244660419
"1734",205406790
"1735",244660500
"1736",538011483
"1737",244650960
"1738",211512080
"1739",247174500
"1740",205085300
"1741",567601000
"1742",244312901
"1743",563130300
"1744",667001256
"1745",247069600
"1746",229767000
"1747",244810693
"1748",249810000
"1749",244700788
"1750",259888000
"1751",255916282
"1752",220634000
"1753",538002784
"1754",538008169
"1755",667001451
"1756",253242513
"1757",244700830
"1758",244700385
"1759",257409000
"1760",565843000
"1761",253000049
"1762",636020839
"1763",356899000
"1764",352003713
"1765",538011334
"1766",244630115
"1767",257370000
"1768",636014499
"1769",244710869
"1770",244186831
"1771",477142400
"1772",205262090
"1773",563065100
"1774",266266000
"1775",266454000
"1776",259191000
"1777",255803560
"1778",232032994
"1779",210051000
"1780",211812980
"1781",211519980
"1782",244750375
"1783",352004406
"1784",211516510
"1785",636019628
"1786",211881000
"1787",236111791
"1788",255804270
"1789",248897000
"1790",374007000
"1791",563182900
"1792",257872000
"1793",319469000
"1794",636019204
"1795",538005118
"1796",211741810
"1797",563219000
"1798",566754000
"1799",269057010
"1800",533132046
"1801",244124317
"1802",303668000
"1803",209341000
"1804",235054768
"1805",636023630
"1806",538003439
"1807",352002521
"1808",244020463
"1809",525100910
"1810",209987000
"1811",563134600
"1812",241809000
"1813",239869900
"1814",477895800
"1815",255806231
"1816",269057098
"1817",538011055
"1818",309368000
"1819",352003580
"1820",311000306
"1821",636025317
"1822",538011558
"1823",236112059
"1824",215122000
"1825",205517990
"1826",440066260
"1827",563253500
"1828",563080900
"1829",636016659
"1830",538005776
"1831",636016364
"1832",212654000
"1833",538007403
"1834",477932600
"1835",244620933
"1836",636023377
"1837",241467000
"1838",563033100
"1839",563302000
"1840",205566790
"1841",211271090
"1842",431000312
"1843",220018000
"1844",241528000
"1845",211523910
"1846",218060950
"1847",219027463
"1848",538006079
"1849",636024466
"1850",525119081
"1851",244118578
"1852",255916315
"1853",232057630
"1854",244660067
"1855",244184725
"1856",352005486
"1857",247482400
"1858",636024894
"1859",563267100
"1860",636023106
"1861",636019071
"1862",257742000
"1863",601046040
"1864",219031111
"1865",636022010
"1866",236111974
"1867",367134000
"1868",205471190
"1869",215481000
"1870",538008843
"1871",240787000
